,measure,medium,unit,economy,transport_type,vehicle_type,fuel,comment,scope,frequency,date,dataset,drive,value
16,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2006,ato $ country_official_statistics,bev,0.0
17,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2007,ato $ country_official_statistics,bev,0.0
18,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2008,ato $ country_official_statistics,bev,0.0
19,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2009,ato $ country_official_statistics,bev,0.0
20,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2010,ato $ country_official_statistics,bev,0.0
21,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2011,ato $ country_official_statistics,bev,0.0
22,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2012,ato $ country_official_statistics,bev,0.0
23,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2013,ato $ country_official_statistics,bev,0.0
24,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2014,ato $ country_official_statistics,bev,0.0
25,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2015,ato $ country_official_statistics,bev,0.0
26,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2016,ato $ country_official_statistics,bev,0.0
27,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2017,ato $ country_official_statistics,bev,0.0
28,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2018,ato $ country_official_statistics,bev,0.0
29,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2019,ato $ country_official_statistics,bev,0.0
30,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2020,ato $ country_official_statistics,bev,0.0
31,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2021,ato $ country_official_statistics,bev,0.0
32,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1990,ato $ country_official_statistics,bev,0.0
33,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1991,ato $ country_official_statistics,bev,0.0
34,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1992,ato $ country_official_statistics,bev,0.0
35,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1993,ato $ country_official_statistics,bev,0.0
36,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1994,ato $ country_official_statistics,bev,0.0
37,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1995,ato $ country_official_statistics,bev,0.0
38,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1996,ato $ country_official_statistics,bev,0.0
39,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1997,ato $ country_official_statistics,bev,0.0
40,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1998,ato $ country_official_statistics,bev,0.0
41,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1999,ato $ country_official_statistics,bev,0.0
42,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2000,ato $ country_official_statistics,bev,0.0
43,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2001,ato $ country_official_statistics,bev,0.0
44,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2002,ato $ country_official_statistics,bev,0.0
45,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2003,ato $ country_official_statistics,bev,0.0
46,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2004,ato $ country_official_statistics,bev,0.0
47,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2005,ato $ country_official_statistics,bev,0.0
48,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2006,ato $ country_official_statistics,bev,0.0
49,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2007,ato $ country_official_statistics,bev,0.0
50,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2008,ato $ country_official_statistics,bev,0.0
51,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2009,ato $ country_official_statistics,bev,0.0
52,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2010,ato $ country_official_statistics,bev,0.0
53,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2011,ato  country_official_statistics $ iea_ev_explorer  historical,bev,2.018867156279663
54,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2012,ato  country_official_statistics $ iea_ev_explorer  historical,bev,6.1092901584691
55,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2013,ato  country_official_statistics $ iea_ev_explorer  historical,bev,13.110725833265924
56,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2014,ato  country_official_statistics $ iea_ev_explorer  historical,bev,19.02952732147635
57,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2015,ato  country_official_statistics $ iea_ev_explorer  historical,bev,20.9372684645932
58,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2016,ato  country_official_statistics $ iea_ev_explorer  historical,bev,27.67236024051893
59,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2017,ato  country_official_statistics $ iea_ev_explorer  historical,bev,27.9351602428031
60,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2018,ato  country_official_statistics $ iea_ev_explorer  historical,bev,39.70214215762447
61,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2019,ato  country_official_statistics $ iea_ev_explorer  historical,bev,46.59839895843256
62,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2020,ato  country_official_statistics $ iea_ev_explorer  historical,bev,57.762750860711186
63,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1990,ato $ country_official_statistics,bev,0.0
64,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1991,ato $ country_official_statistics,bev,0.0
65,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1992,ato $ country_official_statistics,bev,0.0
66,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1993,ato $ country_official_statistics,bev,0.0
67,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1994,ato $ country_official_statistics,bev,0.0
68,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1995,ato $ country_official_statistics,bev,0.0
69,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1996,ato $ country_official_statistics,bev,0.0
70,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1997,ato $ country_official_statistics,bev,0.0
71,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1998,ato $ country_official_statistics,bev,0.0
72,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1999,ato $ country_official_statistics,bev,0.0
73,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2000,ato $ country_official_statistics,bev,0.0
74,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2001,ato $ country_official_statistics,bev,0.0
75,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2002,ato $ country_official_statistics,bev,0.0
76,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2003,ato $ country_official_statistics,bev,0.0
77,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2004,ato $ country_official_statistics,bev,0.0
78,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2005,ato $ country_official_statistics,bev,0.0
79,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2006,ato $ country_official_statistics,bev,0.0
80,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2007,ato $ country_official_statistics,bev,0.0
81,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2008,ato $ country_official_statistics,bev,0.0
82,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2009,ato $ country_official_statistics,bev,0.0
83,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2010,ato $ country_official_statistics,bev,0.0
84,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2011,ato $ country_official_statistics,bev,0.0
85,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2012,ato $ country_official_statistics,bev,0.0
86,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2013,ato $ country_official_statistics,bev,0.0
87,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2014,ato $ country_official_statistics,bev,0.0
88,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2015,ato $ country_official_statistics,bev,0.0
89,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2016,ato $ country_official_statistics,bev,0.0
90,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2017,ato $ country_official_statistics,bev,0.0
91,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2018,ato $ country_official_statistics,bev,0.0
92,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2019,ato $ country_official_statistics,bev,0.0
93,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2020,ato $ country_official_statistics,bev,0.0
94,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2021,ato $ country_official_statistics,bev,0.0
95,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,1990,ato $ country_official_statistics,bev,0.0
96,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,1991,ato $ country_official_statistics,bev,0.0
97,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,1992,ato $ country_official_statistics,bev,0.0
98,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,1993,ato $ country_official_statistics,bev,0.0
99,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,1994,ato $ country_official_statistics,bev,0.0
100,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,1995,ato $ country_official_statistics,bev,0.0
101,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,1996,ato $ country_official_statistics,bev,0.0
102,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,1997,ato $ country_official_statistics,bev,0.0
103,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,1998,ato $ country_official_statistics,bev,0.0
104,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,1999,ato $ country_official_statistics,bev,0.0
105,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2000,ato $ country_official_statistics,bev,0.0
106,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2001,ato $ country_official_statistics,bev,0.0
107,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2002,ato $ country_official_statistics,bev,0.0
108,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2003,ato $ country_official_statistics,bev,0.0
109,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2004,ato $ country_official_statistics,bev,0.0
110,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2005,ato $ country_official_statistics,bev,0.0
111,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2006,ato $ country_official_statistics,bev,0.0
112,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2007,ato $ country_official_statistics,bev,0.0
113,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2008,ato $ country_official_statistics,bev,0.0
114,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2009,ato $ country_official_statistics,bev,0.0
115,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2010,ato $ country_official_statistics,bev,0.0
116,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2011,ato $ country_official_statistics,bev,0.0
117,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2012,ato $ country_official_statistics,bev,0.0
118,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2013,ato $ country_official_statistics,bev,0.0
119,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2014,ato $ country_official_statistics,bev,0.0
120,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2015,ato $ country_official_statistics,bev,0.0
121,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2016,ato $ country_official_statistics,bev,0.0
122,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2017,ato $ country_official_statistics,bev,0.0
123,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2018,ato $ country_official_statistics,bev,0.0
124,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2019,ato $ country_official_statistics,bev,0.0
125,stocks,road,stocks,08_JPN,combined,all,all,no_comment,national,yearly,2020,ato $ country_official_statistics,bev,0.0
126,stocks,air,stocks,08_JPN,freight,all,all,no_comment,national,yearly,2017,8th_-_new_vtypes_and_drives $ reference,bev,0.0
127,stocks,air,stocks,08_JPN,passenger,all,all,no_comment,national,yearly,2017,8th_-_new_vtypes_and_drives $ reference,bev,0.0
128,stocks,rail,stocks,08_JPN,freight,all,all,no_comment,national,yearly,2017,8th_-_new_vtypes_and_drives $ reference,bev,0.0
129,stocks,rail,stocks,08_JPN,passenger,all,all,no_comment,national,yearly,2017,8th_-_new_vtypes_and_drives $ reference,bev,0.0
130,stocks,ship,stocks,08_JPN,freight,all,all,no_comment,national,yearly,2017,8th_-_new_vtypes_and_drives $ reference,bev,0.0
131,stocks,ship,stocks,08_JPN,passenger,all,all,no_comment,national,yearly,2017,8th_-_new_vtypes_and_drives $ reference,bev,0.0
132,stocks,road,stocks,08_JPN,freight,lcv,all,no_comment,national,yearly,2017,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer  historical,bev,1131.1679747164158
133,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2017,8th_-_new_vtypes_and_drives $ reference,bev,0.0
134,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2017,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer  historical,bev,26.795400232896686
135,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1990,ato $ country_official_statistics,phev,0.0
136,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1991,ato $ country_official_statistics,phev,0.0
137,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1992,ato $ country_official_statistics,phev,0.0
138,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1993,ato $ country_official_statistics,phev,0.0
139,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1994,ato $ country_official_statistics,phev,0.0
140,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1995,ato $ country_official_statistics,phev,0.0
141,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1996,ato $ country_official_statistics,phev,0.0
142,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1997,ato $ country_official_statistics,phev,0.0
143,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1998,ato $ country_official_statistics,phev,0.0
144,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1999,ato $ country_official_statistics,phev,0.0
145,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2000,ato $ country_official_statistics,phev,0.0
146,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2001,ato $ country_official_statistics,phev,0.0
147,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2002,ato $ country_official_statistics,phev,0.0
148,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2003,ato $ country_official_statistics,phev,0.0
149,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2004,ato $ country_official_statistics,phev,0.0
150,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2005,ato $ country_official_statistics,phev,0.0
151,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2006,ato $ country_official_statistics,phev,0.0
152,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2007,ato $ country_official_statistics,phev,0.0
153,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2008,ato $ country_official_statistics,phev,0.0
154,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2009,ato $ country_official_statistics,phev,0.0
155,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2010,ato $ country_official_statistics,phev,0.0
156,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2011,ato $ country_official_statistics,phev,0.0
157,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2012,ato $ country_official_statistics,phev,0.0
158,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2013,ato $ country_official_statistics,phev,0.0
159,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2014,ato $ country_official_statistics,phev,0.0
160,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2015,ato $ country_official_statistics,phev,0.0
161,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2016,ato $ country_official_statistics,phev,0.0
162,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2017,ato $ country_official_statistics,phev,0.0
163,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2018,ato $ country_official_statistics,phev,0.0
164,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2019,ato $ country_official_statistics,phev,0.0
165,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2020,ato $ country_official_statistics,phev,0.0
166,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2021,ato $ country_official_statistics,phev,0.0
167,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1990,ato $ country_official_statistics,phev,0.0
168,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1991,ato $ country_official_statistics,phev,0.0
169,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1992,ato $ country_official_statistics,phev,0.0
170,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1993,ato $ country_official_statistics,phev,0.0
171,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1994,ato $ country_official_statistics,phev,0.0
172,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1995,ato $ country_official_statistics,phev,0.0
173,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1996,ato $ country_official_statistics,phev,0.0
174,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1997,ato $ country_official_statistics,phev,0.0
175,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1998,ato $ country_official_statistics,phev,0.0
176,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,1999,ato $ country_official_statistics,phev,0.0
177,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2000,ato $ country_official_statistics,phev,0.0
178,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2001,ato $ country_official_statistics,phev,0.0
179,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2002,ato $ country_official_statistics,phev,0.0
180,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2003,ato $ country_official_statistics,phev,0.0
181,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2004,ato $ country_official_statistics,phev,0.0
182,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2005,ato $ country_official_statistics,phev,0.0
183,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2006,ato $ country_official_statistics,phev,0.0
184,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2007,ato $ country_official_statistics,phev,0.0
185,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2008,ato $ country_official_statistics,phev,0.0
186,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2009,ato $ country_official_statistics,phev,0.0
187,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2010,ato $ country_official_statistics,phev,0.0
188,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2011,ato  country_official_statistics $ iea_ev_explorer  historical,phev,0.0
189,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2012,ato  country_official_statistics $ iea_ev_explorer  historical,phev,0.0
190,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2013,ato  country_official_statistics $ iea_ev_explorer  historical,phev,0.0
191,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2014,ato  country_official_statistics $ iea_ev_explorer  historical,phev,0.0
192,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2015,ato  country_official_statistics $ iea_ev_explorer  historical,phev,0.0
193,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2016,ato  country_official_statistics $ iea_ev_explorer  historical,phev,0.0
194,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2017,ato  country_official_statistics $ iea_ev_explorer  historical,phev,0.0
195,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2018,ato  country_official_statistics $ iea_ev_explorer  historical,phev,0.0
196,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2019,ato  country_official_statistics $ iea_ev_explorer  historical,phev,0.0
197,stocks,road,stocks,08_JPN,passenger,bus,all,no_comment,national,yearly,2020,ato  country_official_statistics $ iea_ev_explorer  historical,phev,0.0
198,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1990,ato $ country_official_statistics,phev,0.0
199,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1991,ato $ country_official_statistics,phev,0.0
200,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1992,ato $ country_official_statistics,phev,0.0
201,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1993,ato $ country_official_statistics,phev,0.0
202,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1994,ato $ country_official_statistics,phev,0.0
203,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1995,ato $ country_official_statistics,phev,0.0
204,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1996,ato $ country_official_statistics,phev,0.0
205,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1997,ato $ country_official_statistics,phev,0.0
206,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1998,ato $ country_official_statistics,phev,0.0
207,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,1999,ato $ country_official_statistics,phev,0.0
208,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2000,ato $ country_official_statistics,phev,0.0
209,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2001,ato $ country_official_statistics,phev,0.0
210,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2002,ato $ country_official_statistics,phev,0.0
211,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2003,ato $ country_official_statistics,phev,0.0
212,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2004,ato $ country_official_statistics,phev,0.0
213,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2005,ato $ country_official_statistics,phev,0.0
214,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2006,ato $ country_official_statistics,phev,0.0
215,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2007,ato $ country_official_statistics,phev,0.0
216,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2008,ato $ country_official_statistics,phev,0.0
217,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2009,ato $ country_official_statistics,phev,0.0
218,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2010,ato $ country_official_statistics,phev,0.0
219,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2011,ato $ country_official_statistics,phev,0.0
220,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2012,ato $ country_official_statistics,phev,0.0
221,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2013,ato $ country_official_statistics,phev,0.0
222,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2014,ato $ country_official_statistics,phev,0.0
223,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2015,ato $ country_official_statistics,phev,0.0
224,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2016,ato $ country_official_statistics,phev,0.0
225,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2017,ato $ country_official_statistics,phev,0.0
226,stocks,road,stocks,08_JPN,combined,others,all,no_comment,national,yearly,2018,ato $ country_official_statistics,phev,0.0
