Source,Economy,Measure,Unit,Transport Type,Medium,Vehicle Type,Drive,Value,Dataset,Date,Frequency
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,1993-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,644000000.0,ITEM,1993-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1000000.0,ITEM,1993-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2012776.0,ITEM,1994-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000000.0,ITEM,1994-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,453000000.0,ITEM,1994-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1000000.0,ITEM,1994-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,550019.0,ITEM,1994-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,1994-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,87000000.0,ITEM,1994-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,65000000.0,ITEM,1994-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,1994-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,3836155.0,ITEM,1994-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,1994-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,725000000.0,ITEM,1994-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,14000000.0,ITEM,1994-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,1994-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2150289.0,ITEM,1995-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,1533846.0,ITEM,1995-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000000.0,ITEM,1995-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,450000000.0,ITEM,1995-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1000000.0,ITEM,1995-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,569970.0,ITEM,1995-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,4000000.0,ITEM,1995-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,96000000.0,ITEM,1995-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,64000000.0,ITEM,1995-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,1995-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,4488064.0,ITEM,1995-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,1995-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,729000000.0,ITEM,1995-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,15000000.0,ITEM,1995-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,1995-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2306239.0,ITEM,1996-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,1714999.0,ITEM,1996-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000000.0,ITEM,1996-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,448000000.0,ITEM,1996-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1000000.0,ITEM,1996-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,684362.0,ITEM,1996-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,4000000.0,ITEM,1996-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,104000000.0,ITEM,1996-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,58000000.0,ITEM,1996-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,1996-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,4898297.0,ITEM,1996-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,1996-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,738000000.0,ITEM,1996-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,14000000.0,ITEM,1996-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,1996-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2504638.0,ITEM,1997-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,1859452.0,ITEM,1997-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000000.0,ITEM,1997-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,0.0,ITEM,1997-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,0.0,ITEM,1997-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,902875.0,ITEM,1997-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,4000000.0,ITEM,1997-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,119000000.0,ITEM,1997-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,53000000.0,ITEM,1997-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,1997-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,5475040.0,ITEM,1997-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,1997-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,733000000.0,ITEM,1997-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,14000000.0,ITEM,1997-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,1997-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2699821.0,ITEM,1998-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,1958212.0,ITEM,1998-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000000.0,ITEM,1998-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,0.0,ITEM,1998-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,0.0,ITEM,1998-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1010124.0,ITEM,1998-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,4000000.0,ITEM,1998-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,127000000.0,ITEM,1998-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,49000000.0,ITEM,1998-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,1998-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,6102068.0,ITEM,1998-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,1998-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,735000000.0,ITEM,1998-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,14000000.0,ITEM,1998-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,1998-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,3034767.0,ITEM,1999-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2184462.0,ITEM,1999-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2189335.0,ITEM,1999-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000000.0,ITEM,1999-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,544000000.0,ITEM,1999-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,0.0,ITEM,1999-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1117763.0,ITEM,1999-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,4000000.0,ITEM,1999-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,134000000.0,ITEM,1999-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,43000000.0,ITEM,1999-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,1999-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,6972959.0,ITEM,1999-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,1999-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,743000000.0,ITEM,1999-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,15000000.0,ITEM,1999-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,1999-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,3382653.0,ITEM,2000-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2443449.0,ITEM,2000-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2736139.0,ITEM,2000-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2000-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,0.0,ITEM,2000-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,0.0,ITEM,2000-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,14897058.0,ITEM,2000-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1315749.0,ITEM,2000-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2000-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2000-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,7958801.0,ITEM,2000-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2000-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,752000000.0,ITEM,2000-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,15000000.0,ITEM,2000-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2000-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,3393553.0,ITEM,2001-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2541444.0,ITEM,2001-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2674208.0,ITEM,2001-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000000.0,ITEM,2001-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,0.0,ITEM,2001-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,0.0,ITEM,2001-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,14721296.0,ITEM,2001-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1358662.0,ITEM,2001-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,5000000.0,ITEM,2001-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,38000000.0,ITEM,2001-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2001-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,9990111.0,ITEM,2001-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2001-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,776000000.0,ITEM,2001-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,17000000.0,ITEM,2001-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2001-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,3811899.0,ITEM,2002-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2835256.0,ITEM,2002-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,3055248.0,ITEM,2002-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000000.0,ITEM,2002-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,0.0,ITEM,2002-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,0.0,ITEM,2002-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,15321283.0,ITEM,2002-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1564673.0,ITEM,2002-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,5000000.0,ITEM,2002-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,34000000.0,ITEM,2002-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2002-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,11889798.0,ITEM,2002-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2002-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,766000000.0,ITEM,2002-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,17000000.0,ITEM,2002-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2002-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,4170565.0,ITEM,2003-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2995529.0,ITEM,2003-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,3374791.0,ITEM,2003-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2003-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,0.0,ITEM,2003-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,12000000.0,ITEM,2003-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,16548816.0,ITEM,2003-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1685367.0,ITEM,2003-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,5000000.0,ITEM,2003-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,31000000.0,ITEM,2003-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2003-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,13185871.0,ITEM,2003-12-31,Yearly
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,25424477.0,ITEM,2003-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2003-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,765000000.0,ITEM,2003-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,18000000.0,ITEM,2003-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,4704855.0,ITEM,2004-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2754468.0,ITEM,2004-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,3691783.0,ITEM,2004-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000000.0,ITEM,2004-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,0.0,ITEM,2004-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,13000000.0,ITEM,2004-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,17837550.0,ITEM,2004-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1903845.0,ITEM,2004-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,5000000.0,ITEM,2004-12-31,Yearly
